latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.13253,74.65687,340.22,0.39,0.44,2023-09-04,0828,N20,VIIRS,n,2,300.96,6.13,D,0
31.5347,74.59673,333.01,0.39,0.44,2023-09-04,0828,N20,VIIRS,n,2,301.04,1.96,D,0
30.58062,73.95449,331.15,0.53,0.42,2023-09-04,0828,N20,VIIRS,n,2,300.71,1.72,D,0
30.62869,73.99799,330.95,0.53,0.42,2023-09-04,0828,N20,VIIRS,n,2,300.68,2.8,D,0
30.57518,73.80486,330.34,0.52,0.42,2023-09-04,0828,N20,VIIRS,n,2,302.04,2.58,D,0
29.79651,77.05165,341.96,0.51,0.5,2023-09-04,0828,N20,VIIRS,n,2,299.51,8.81,D,0
30.99182,74.21468,337.36,0.55,0.43,2023-09-04,0828,N20,VIIRS,n,2,301.64,5.93,D,0
30.99248,74.22046,334.46,0.55,0.43,2023-09-04,0828,N20,VIIRS,n,2,300.88,5.93,D,0
30.39719,73.59808,334.81,0.51,0.41,2023-09-04,0828,N20,VIIRS,n,2,303.2,3.35,D,0
31.86137,74.02077,330.53,0.55,0.43,2023-09-04,0828,N20,VIIRS,n,2,300.3,4.1,D,0
31.05177,74.04005,332.03,0.54,0.42,2023-09-04,0828,N20,VIIRS,n,2,302.66,2.76,D,0
30.6532,73.78502,335.6,0.52,0.42,2023-09-04,0828,N20,VIIRS,n,2,302.45,4.96,D,0
30.62611,73.90836,334.58,0.53,0.42,2023-09-04,0828,N20,VIIRS,n,2,301.06,14.84,D,0
30.9921,74.21803,347.34,0.55,0.43,2023-09-04,0828,N20,VIIRS,n,2,302.2,9.34,D,0
29.91373,77.30595,330.13,0.53,0.5,2023-09-04,0828,N20,VIIRS,n,2,296.7,3.67,D,0
30.61269,73.82684,340.76,0.52,0.42,2023-09-04,0828,N20,VIIRS,n,2,302.15,4.38,D,0
30.39763,73.59985,335.76,0.51,0.41,2023-09-04,0828,N20,VIIRS,n,2,303.02,5.77,D,0
