latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
29.19939,76.82061,338.35,0.6,0.53,2026-06-01,0835,N20,VIIRS,n,2.0NRT,295.84,6.04,D
29.91864,75.18349,348.42,0.49,0.49,2026-06-01,0835,N20,VIIRS,n,2.0NRT,304.05,5.21,D
29.81462,76.87286,335.94,0.62,0.54,2026-06-01,0835,N20,VIIRS,n,2.0NRT,296.15,3.3,D
29.6271,75.20136,337.29,0.49,0.48,2026-06-01,0835,N20,VIIRS,n,2.0NRT,302.23,4.15,D
29.19724,76.82328,331.21,0.6,0.53,2026-06-01,0835,N20,VIIRS,n,2.0NRT,295.8,2.55,D
32.37313,74.60892,344.08,0.48,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,301.8,4.46,D
32.09583,74.72647,344.62,0.49,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,304.44,7.38,D
32.09155,74.54517,342.54,0.48,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,299.26,2.65,D
32.09418,74.72916,348.22,0.49,0.49,2026-06-01,0837,N20,VIIRS,n,2.0NRT,304.87,11.3,D
32.09062,74.54237,343.13,0.48,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,299.22,3.62,D
30.00096,73.55498,345.74,0.4,0.44,2026-06-01,0837,N20,VIIRS,n,2.0NRT,308.08,7.77,D
30.31368,74.4059,340.78,0.45,0.47,2026-06-01,0837,N20,VIIRS,n,2.0NRT,305.89,8.58,D
30.55485,73.96239,331.73,0.42,0.46,2026-06-01,0837,N20,VIIRS,l,2.0NRT,301.89,2.86,D
30.59999,73.98781,331.82,0.43,0.46,2026-06-01,0837,N20,VIIRS,l,2.0NRT,302.21,2.29,D
30.61184,73.82091,351.19,0.42,0.45,2026-06-01,0837,N20,VIIRS,n,2.0NRT,299.45,9.24,D
30.76715,75.24268,342.26,0.51,0.49,2026-06-01,0837,N20,VIIRS,n,2.0NRT,301.73,5.39,D
30.76823,75.24063,343.07,0.51,0.49,2026-06-01,0837,N20,VIIRS,n,2.0NRT,301.07,4.57,D
30.6229,73.54694,336.52,0.4,0.44,2026-06-01,0837,N20,VIIRS,n,2.0NRT,300.34,1.5,D
30.64859,73.75123,332.76,0.41,0.45,2026-06-01,0837,N20,VIIRS,n,2.0NRT,300.4,2.16,D
30.63565,73.51102,330.56,0.4,0.44,2026-06-01,0837,N20,VIIRS,l,2.0NRT,302.93,1.59,D
30.65149,73.62025,339.79,0.41,0.45,2026-06-01,0837,N20,VIIRS,n,2.0NRT,300.63,2.44,D
30.6984,74.02609,346.76,0.43,0.46,2026-06-01,0837,N20,VIIRS,n,2.0NRT,301,7.23,D
30.71806,74.0508,341.13,0.43,0.46,2026-06-01,0837,N20,VIIRS,n,2.0NRT,301.78,3.86,D
30.71759,74.0463,335.06,0.43,0.46,2026-06-01,0837,N20,VIIRS,n,2.0NRT,299.47,3.86,D
30.71546,73.82592,339.43,0.42,0.45,2026-06-01,0837,N20,VIIRS,n,2.0NRT,300.5,3.09,D
30.76849,73.71355,331.98,0.41,0.45,2026-06-01,0837,N20,VIIRS,n,2.0NRT,298.55,2.02,D
30.78181,73.7601,334.08,0.42,0.45,2026-06-01,0837,N20,VIIRS,n,2.0NRT,300.16,2.55,D
30.78596,73.75954,331.45,0.42,0.45,2026-06-01,0837,N20,VIIRS,n,2.0NRT,300.2,2.29,D
30.82179,73.97863,333.98,0.43,0.46,2026-06-01,0837,N20,VIIRS,n,2.0NRT,298.95,1.21,D
30.87916,74.11979,341.06,0.44,0.46,2026-06-01,0837,N20,VIIRS,n,2.0NRT,302.99,13.53,D
30.98919,74.19523,332.49,0.44,0.46,2026-06-01,0837,N20,VIIRS,n,2.0NRT,301.33,1.75,D
30.96099,73.91251,352.32,0.43,0.46,2026-06-01,0837,N20,VIIRS,n,2.0NRT,301.8,12.69,D
31.02422,74.24253,335.44,0.45,0.47,2026-06-01,0837,N20,VIIRS,n,2.0NRT,300.71,4.2,D
31.01552,73.51138,340.94,0.41,0.45,2026-06-01,0837,N20,VIIRS,n,2.0NRT,300.45,1.34,D
31.01466,73.5117,341.42,0.41,0.45,2026-06-01,0837,N20,VIIRS,n,2.0NRT,301.09,1.85,D
31.03995,73.59504,334.15,0.41,0.45,2026-06-01,0837,N20,VIIRS,n,2.0NRT,303.39,1.98,D
31.31013,75.74374,341.95,0.55,0.51,2026-06-01,0837,N20,VIIRS,n,2.0NRT,302.87,20.2,D
31.23959,74.52759,336.26,0.47,0.47,2026-06-01,0837,N20,VIIRS,n,2.0NRT,304.96,4.36,D
31.24379,73.63776,345.45,0.41,0.45,2026-06-01,0837,N20,VIIRS,n,2.0NRT,305.79,5.09,D
31.24564,73.63454,341.12,0.41,0.45,2026-06-01,0837,N20,VIIRS,n,2.0NRT,303.75,4.18,D
31.85105,76.80291,367,0.32,0.55,2026-06-01,0837,N20,VIIRS,h,2.0NRT,296.76,5.25,D
31.85079,76.79979,331.74,0.32,0.55,2026-06-01,0837,N20,VIIRS,n,2.0NRT,298.63,5.25,D
31.85015,76.80345,340.89,0.32,0.55,2026-06-01,0837,N20,VIIRS,n,2.0NRT,295.35,6.26,D
31.84991,76.80033,355.77,0.32,0.55,2026-06-01,0837,N20,VIIRS,n,2.0NRT,299.38,8.63,D
31.88128,74.53847,343.07,0.47,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,300.85,4.62,D
31.8663,74.37917,348.31,0.46,0.47,2026-06-01,0837,N20,VIIRS,n,2.0NRT,303.06,8.3,D
31.88239,74.50276,333.55,0.47,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,299.85,3.17,D
31.87972,74.42744,339.14,0.47,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,302.05,3.67,D
31.85032,74.12151,332.92,0.45,0.47,2026-06-01,0837,N20,VIIRS,n,2.0NRT,298.62,3.75,D
31.90008,74.45499,342.37,0.47,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,299.41,4.77,D
31.89818,74.4351,336.27,0.47,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,302.14,3.04,D
31.92183,74.58951,334.16,0.48,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,301.92,2.15,D
31.9094,74.41357,338.82,0.47,0.47,2026-06-01,0837,N20,VIIRS,n,2.0NRT,301.89,5.32,D
31.93858,74.4854,338.16,0.47,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,302.27,3.4,D
31.92496,74.34666,333.95,0.46,0.47,2026-06-01,0837,N20,VIIRS,n,2.0NRT,297.73,3.63,D
31.92448,74.34174,346.5,0.46,0.47,2026-06-01,0837,N20,VIIRS,n,2.0NRT,295.94,3.63,D
31.92884,74.34118,330.53,0.46,0.47,2026-06-01,0837,N20,VIIRS,n,2.0NRT,297.29,3.63,D
31.95566,74.47815,343.89,0.47,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,302.26,9.2,D
31.97083,74.44863,332.74,0.47,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,300.87,2.83,D
31.98712,74.5278,335.52,0.47,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,303.61,3,D
32.00985,74.62773,346.15,0.48,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,302.98,6.4,D
32.00999,74.58126,336.45,0.48,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,303.28,4.48,D
32.09785,75.18703,333.27,0.52,0.5,2026-06-01,0837,N20,VIIRS,n,2.0NRT,298.87,4.26,D
32.0473,74.64373,335.08,0.48,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,300.52,3.35,D
32.06014,74.59035,338.3,0.48,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,301.78,2.16,D
32.06902,74.6358,339.72,0.48,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,300.74,2.94,D
32.1091,75.00881,334.87,0.51,0.49,2026-06-01,0837,N20,VIIRS,n,2.0NRT,302.65,1.43,D
32.07094,74.56321,333.66,0.48,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,299.71,2.7,D
32.09633,74.73167,337.15,0.49,0.48,2026-06-01,0837,N20,VIIRS,n,2.0NRT,304.24,6.31,D
29.12475,75.77798,306.44,0.49,0.4,2026-06-01,2101,N20,VIIRS,n,2.0NRT,293.92,2.21,N
27.6698,76.12854,304.84,0.54,0.42,2026-06-01,2101,N20,VIIRS,n,2.0NRT,292.05,1.65,N
27.66709,76.13285,305.97,0.54,0.42,2026-06-01,2101,N20,VIIRS,n,2.0NRT,292.17,1.73,N
30.51853,77.19846,301.78,0.55,0.42,2026-06-01,2101,N20,VIIRS,n,2.0NRT,287.62,1.09,N
