latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
31.44296,75.79656,314.15,1.9,1.35,2026-05-01,0434,Terra,MODIS,66,6.1NRT,299.91,12.17,D
31.27942,76.09669,318.76,2,1.38,2026-05-01,0434,Terra,MODIS,77,6.1NRT,300.54,21.9,D
31.60318,75.55714,323.01,1.81,1.32,2026-05-01,0434,Terra,MODIS,75,6.1NRT,303.39,19.86,D
31.16759,75.87356,317.44,1.95,1.36,2026-05-01,0434,Terra,MODIS,75,6.1NRT,301.36,13.58,D
30.41906,76.20271,316.58,2.13,1.42,2026-05-01,0434,Terra,MODIS,66,6.1NRT,300.49,17.3,D
30.69317,74.39732,324.37,1.59,1.24,2026-05-01,0434,Terra,MODIS,73,6.1NRT,306.82,15.14,D
30.68836,74.40695,338.03,1.6,1.24,2026-05-01,0434,Terra,MODIS,87,6.1NRT,307.61,50.7,D
30.26853,75.95432,320.32,2.07,1.4,2026-05-01,0434,Terra,MODIS,73,6.1NRT,302.27,20.1,D
30.2275,75.68514,318.79,1.98,1.37,2026-05-01,0434,Terra,MODIS,69,6.1NRT,302.82,15.25,D
30.12456,75.44363,320.65,1.92,1.35,2026-05-01,0434,Terra,MODIS,70,6.1NRT,303.11,16.58,D
29.8653,75.97705,320.41,2.12,1.41,2026-05-01,0434,Terra,MODIS,71,6.1NRT,302.97,17.66,D
29.82965,75.62083,322.26,2,1.38,2026-05-01,0434,Terra,MODIS,72,6.1NRT,303.08,21.93,D
29.814,75.70043,327.99,2.03,1.39,2026-05-01,0434,Terra,MODIS,79,6.1NRT,303.52,40.82,D
29.81035,75.69279,322.87,2.03,1.39,2026-05-01,0434,Terra,MODIS,73,6.1NRT,303.09,24.13,D
29.80653,75.71288,322.03,2.04,1.39,2026-05-01,0434,Terra,MODIS,72,6.1NRT,303.03,22.43,D
29.71935,75.35636,320.56,1.93,1.36,2026-05-01,0434,Terra,MODIS,68,6.1NRT,303.59,16.3,D
29.72366,76.04169,324.2,3.82,1.83,2026-05-01,1038,Aqua,MODIS,30,6.1NRT,303.43,46.63,D
30.62879,74.29168,325.96,2.94,1.63,2026-05-01,1038,Aqua,MODIS,69,6.1NRT,302.49,43.84,D
30.78206,74.50746,325.26,3.06,1.66,2026-05-01,1038,Aqua,MODIS,67,6.1NRT,304.44,39.88,D
30.12974,75.25034,326.57,3.39,1.74,2026-05-01,1038,Aqua,MODIS,67,6.1NRT,303.39,53.43,D
30.37098,75.4082,319.92,2.73,1.58,2026-05-02,0336,Terra,MODIS,67,6.1NRT,300.95,23.29,D
30.25051,75.35569,320.59,2.74,1.58,2026-05-02,0336,Terra,MODIS,68,6.1NRT,301.74,25.5,D
29.18335,77.00207,322.52,1.33,1.14,2026-05-02,0939,Aqua,MODIS,62,6.1NRT,304.76,9.48,D
30.09131,76.98378,323.14,1.29,1.13,2026-05-02,0939,Aqua,MODIS,73,6.1NRT,306.65,10.47,D
30.21027,76.49052,326.64,1.37,1.16,2026-05-02,0939,Aqua,MODIS,77,6.1NRT,307.6,14.54,D
30.26588,76.68645,324.32,1.33,1.14,2026-05-02,0939,Aqua,MODIS,69,6.1NRT,304.13,10.36,D
30.19338,75.88302,328.78,1.49,1.2,2026-05-02,0939,Aqua,MODIS,76,6.1NRT,308.39,19.11,D
30.91282,76.5968,324.63,1.31,1.14,2026-05-02,0939,Aqua,MODIS,79,6.1NRT,306.96,14.28,D
28.88851,76.33918,332.18,1.48,1.2,2026-05-02,0939,Aqua,MODIS,78,6.1NRT,310.66,22.39,D
30.6869,74.25792,327.23,1.85,1.33,2026-05-02,0939,Aqua,MODIS,72,6.1NRT,308.97,18.02,D
31.33259,77.20982,311.25,1.2,1.09,2026-05-02,0939,Aqua,MODIS,61,6.1NRT,297.64,7.83,D
31.6526,75.52413,354.73,1.46,1.2,2026-05-02,0939,Aqua,MODIS,97,6.1NRT,308.09,101.39,D
32.01292,75.45305,330.85,1.46,1.19,2026-05-02,0939,Aqua,MODIS,64,6.1NRT,309.03,24.77,D
32.37791,75.34914,323.08,1.45,1.19,2026-05-02,0939,Aqua,MODIS,72,6.1NRT,306.56,10.11,D
32.37337,75.34502,323.92,1.45,1.19,2026-05-02,0939,Aqua,MODIS,76,6.1NRT,306.69,12.32,D
30.66087,74.23117,331.3,1.86,1.33,2026-05-02,0939,Aqua,MODIS,78,6.1NRT,309.26,32.17,D
28.96891,76.20651,330.45,1.5,1.21,2026-05-02,0939,Aqua,MODIS,75,6.1NRT,312.59,17.2,D
30.73956,74.44347,326.37,1,1,2026-05-03,0414,Terra,MODIS,79,6.1NRT,301.99,14.22,D
30.73809,74.45362,324.83,1,1,2026-05-03,0414,Terra,MODIS,78,6.1NRT,302.11,12.56,D
30.66226,74.21411,322.95,1,1,2026-05-03,0414,Terra,MODIS,74,6.1NRT,301.39,10.84,D
30.66081,74.22424,328.83,1,1,2026-05-03,0414,Terra,MODIS,80,6.1NRT,302.05,17.27,D
30.53983,74.80633,318.86,1.01,1,2026-05-03,0414,Terra,MODIS,69,6.1NRT,301.01,6.88,D
30.60374,74.16588,319.98,1,1,2026-05-03,0414,Terra,MODIS,68,6.1NRT,301.66,8.14,D
30.45163,74.89881,319.16,1.01,1.01,2026-05-03,0414,Terra,MODIS,69,6.1NRT,301.13,7.04,D
