latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
31.58119,75.56163,301.55,0.43,0.38,2026-04-30,2040,SNPP,SNPP,n,2.0NRT,290.93,0.77,N
31.53865,75.63752,305.03,0.43,0.38,2026-04-30,2040,SNPP,SNPP,n,2.0NRT,291.61,0.96,N
31.32725,76.89442,306.06,0.4,0.37,2026-04-30,2040,SNPP,SNPP,n,2.0NRT,290.78,0.87,N
31.25917,76.9252,298.65,0.4,0.37,2026-04-30,2040,SNPP,SNPP,n,2.0NRT,288.31,0.32,N
31.54188,74.47299,309.99,0.48,0.4,2026-04-30,2040,SNPP,SNPP,n,2.0NRT,291.74,0.9,N
30.4897,76.72608,300.11,0.4,0.37,2026-04-30,2040,SNPP,SNPP,n,2.0NRT,289.84,0.53,N
31.75121,75.60749,306.9,0.43,0.38,2026-04-30,2040,SNPP,SNPP,n,2.0NRT,291.46,2.18,N
31.74771,75.60684,335.14,0.43,0.38,2026-04-30,2040,SNPP,SNPP,n,2.0NRT,292.24,2.18,N
31.74666,75.58792,302.34,0.43,0.38,2026-04-30,2040,SNPP,SNPP,n,2.0NRT,291.86,0.53,N
31.594,75.49378,309.91,0.44,0.38,2026-04-30,2040,SNPP,SNPP,n,2.0NRT,291.02,1.29,N
31.59338,75.49836,307.95,0.44,0.38,2026-04-30,2040,SNPP,SNPP,n,2.0NRT,291.23,1,N
31.58593,75.55315,306.72,0.43,0.38,2026-04-30,2040,SNPP,SNPP,n,2.0NRT,291.37,1.02,N
31.58407,75.56683,313.53,0.43,0.38,2026-04-30,2040,SNPP,SNPP,n,2.0NRT,291.48,0.77,N
32.08487,74.20027,300.37,0.5,0.41,2026-04-30,2040,SNPP,SNPP,n,2.0NRT,287.19,0.65,N
29.12303,75.77811,315.63,0.41,0.37,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,294.94,1.51,N
29.02555,76.16035,302.91,0.4,0.37,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,292.85,0.41,N
28.7965,77.07106,305.94,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,294.97,0.85,N
28.8001,76.89845,328.36,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,292.03,4.31,N
28.80583,76.83847,320.65,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,293.56,1.47,N
28.74437,76.92817,307.21,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,293.27,1.09,N
28.77188,76.70116,302.95,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,291.56,0.35,N
28.75862,76.58385,315.41,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,292.06,1.01,N
28.75626,76.58463,305.86,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,291.57,0.67,N
28.68536,76.55453,309.93,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,291.77,0.5,N
28.67893,76.52866,302.67,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,292.34,0.57,N
28.67286,76.52338,302.24,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,292.09,0.73,N
28.62939,76.57312,303.19,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,292.27,0.23,N
28.62718,76.5194,305.05,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,293.28,0.69,N
28.64837,76.35468,309.16,0.39,0.37,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,292.84,1.03,N
28.61171,76.50822,306.67,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,293.96,0.62,N
28.61316,76.47564,314.59,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,293.46,1.08,N
28.27131,77.20615,304.41,0.38,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,293.68,0.5,N
28.29684,77.19514,302.91,0.38,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,292.72,0.32,N
28.33956,77.22271,302.96,0.38,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,292.29,0.18,N
28.61145,76.23176,310.96,0.4,0.37,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,293.77,0.87,N
28.60155,76.34574,304.74,0.39,0.37,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,293.56,0.69,N
28.61314,76.36034,309.8,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,292.84,1,N
28.61648,76.36098,304.76,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,293.19,0.35,N
28.60624,76.49896,317.01,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,293.58,1.76,N
28.60863,76.48299,308.89,0.39,0.36,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,294.05,1.17,N
30.00095,74.99249,301.92,0.44,0.38,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,291.73,0.43,N
29.62526,74.1525,302.41,0.47,0.4,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,292.38,0.72,N
29.21841,76.29537,319.84,0.4,0.37,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,292.6,1.56,N
29.20388,76.34699,303.55,0.4,0.37,2026-04-30,2042,SNPP,SNPP,n,2.0NRT,292.52,0.47,N
31.54392,73.90144,338.93,0.49,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.3,3.44,D
31.5178,73.76282,335.76,0.5,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,310.18,3.2,D
31.51682,73.75765,336.4,0.5,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.12,3.2,D
31.85932,75.62903,334.22,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,308.97,2.16,D
31.56362,73.96558,337.44,0.49,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,310.43,3.58,D
31.53159,73.75384,337.45,0.5,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.67,3.69,D
31.88281,75.68272,350.83,0.42,0.37,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,314.3,7.15,D
31.53528,73.75288,341.29,0.5,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,312.48,15.41,D
31.87944,75.6425,352.15,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,314.03,8.93,D
31.89155,75.67154,349.55,0.42,0.37,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,314.12,10,D
31.88969,75.64006,347.25,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.22,5.75,D
31.55102,73.75423,345.27,0.5,0.41,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,309.06,6.33,D
