,City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
0,Delhi,2015-01-01 00:00:00,258.0,340.6,191.0,13.4,104.1,16.2,1.15,39.8,70.4,11.64,10.23,1.95,411.5,Moderate
5,Delhi,2015-01-01 01:00:00,463.8,516.5,19.4,81.1,57.6,35.6,6.33,62.3,193.6,14.6,4.44,7.36,22.9,Satisfactory
10,Delhi,2015-01-01 02:00:00,100.9,225.8,151.5,5.9,162.4,33.6,2.06,47.5,121.0,5.35,29.01,7.63,493.7,Good
15,Delhi,2015-01-01 03:00:00,364.9,318.5,33.6,81.7,8.5,17.9,0.42,62.2,125.6,8.71,29.66,5.85,125.9,Satisfactory
20,Delhi,2015-01-01 04:00:00,30.2,106.2,155.3,48.6,16.0,43.5,4.94,82.1,62.0,4.17,5.63,2.82,170.3,Severe
25,Delhi,2015-01-01 05:00:00,286.6,559.7,147.9,134.9,228.0,19.4,4.22,28.4,112.7,6.35,11.41,4.52,94.5,Moderate
30,Delhi,2015-01-01 06:00:00,77.5,325.7,173.1,21.2,182.7,10.6,7.29,50.5,98.4,1.75,0.42,5.82,300.3,Satisfactory
35,Delhi,2015-01-01 07:00:00,373.7,386.1,37.4,50.2,93.2,10.7,3.82,31.3,196.9,3.98,5.88,7.29,94.0,Good
40,Delhi,2015-01-01 08:00:00,83.1,147.2,136.3,27.4,211.9,18.6,0.67,51.8,21.1,13.41,10.74,0.85,328.4,Severe
45,Delhi,2015-01-01 09:00:00,133.5,169.9,109.2,135.4,202.6,14.7,3.91,64.4,4.1,6.84,14.94,9.36,264.3,Moderate
50,Delhi,2015-01-01 10:00:00,468.3,215.5,193.1,63.5,247.8,38.3,3.79,73.8,135.1,8.88,28.93,5.49,407.6,Satisfactory
55,Delhi,2015-01-01 11:00:00,261.7,361.4,121.7,115.3,130.0,30.5,1.18,7.1,192.7,8.67,17.09,3.99,208.7,Moderate
60,Delhi,2015-01-01 12:00:00,211.3,12.7,105.9,113.4,216.9,47.9,0.98,10.6,83.7,5.27,19.47,6.0,216.9,Severe
65,Delhi,2015-01-01 13:00:00,191.6,280.6,13.2,102.5,124.4,1.1,9.81,89.9,69.8,4.1,4.89,3.44,117.5,Severe
70,Delhi,2015-01-01 14:00:00,438.8,73.3,153.4,96.2,113.9,31.8,5.78,30.4,86.2,17.69,23.32,9.08,198.2,Very Poor
75,Delhi,2015-01-01 15:00:00,348.9,477.4,65.5,62.8,155.0,18.2,1.33,38.0,192.4,4.5,5.51,2.28,179.2,Very Poor
80,Delhi,2015-01-01 16:00:00,281.4,162.5,131.4,122.6,210.2,47.5,3.94,70.3,12.3,9.71,0.67,1.49,459.5,Severe
85,Delhi,2015-01-01 17:00:00,381.2,547.7,39.7,88.5,159.9,2.0,8.08,92.2,112.3,14.19,20.38,3.38,257.9,Poor
90,Delhi,2015-01-01 18:00:00,337.8,284.9,156.2,46.2,143.5,32.0,6.01,56.1,119.6,4.79,12.12,8.57,179.7,Good
95,Delhi,2015-01-01 19:00:00,476.2,557.1,122.0,42.5,193.1,33.6,5.57,3.6,163.7,9.22,27.08,4.55,247.5,Good
100,Delhi,2015-01-01 20:00:00,347.5,214.8,55.2,0.9,50.0,14.4,7.98,46.2,184.8,19.87,20.98,2.58,293.2,Good
105,Delhi,2015-01-01 21:00:00,362.8,217.3,110.2,130.7,110.8,31.3,1.89,37.1,195.2,4.95,23.9,0.82,167.7,Severe
110,Delhi,2015-01-01 22:00:00,187.3,102.8,121.7,34.5,38.1,6.7,6.66,97.9,176.7,0.15,6.71,0.03,180.2,Good
115,Delhi,2015-01-01 23:00:00,304.0,22.9,26.1,102.5,50.3,9.4,7.96,11.2,25.2,16.95,28.61,4.8,73.5,Very Poor
120,Delhi,2015-01-02 00:00:00,181.2,49.4,158.0,139.0,136.6,8.5,6.5,78.0,180.0,11.9,19.05,9.73,40.3,Severe
125,Delhi,2015-01-02 01:00:00,60.6,383.8,106.3,96.4,40.8,12.7,8.65,1.1,145.5,16.35,23.6,1.9,311.3,Moderate
130,Delhi,2015-01-02 02:00:00,187.2,70.7,7.7,76.9,114.1,40.7,1.66,62.8,15.6,14.59,3.71,3.7,476.9,Severe
135,Delhi,2015-01-02 03:00:00,116.6,305.9,40.2,145.3,130.0,7.2,3.87,37.6,184.3,10.26,6.06,6.65,421.4,Very Poor
