co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed,u100,v100,u10,v10,tp,latitude,longitude,datetime_local,hour_of_day_local
1.9849999999999999,98.0,123.65,0.1454,2.0,103.0,67.0,88.33333333333333,3.55,13.433333333333332,278.0,0.3,3.1046143,-3.9977264,1.765152,-1.4315796,0.0,28.5,77.25,2025-02-19 01:30:00+05:30,1
1.99,105.0,111.03333333333335,0.14446666666666666,2.15,101.0,69.0,89.75,,13.125,278.0,0.3,3.005844,-3.8106995,1.7658081,-1.2404785,0.0,28.5,77.25,2025-02-19 02:30:00+05:30,2
1.9975,109.375,115.25,0.150225,2.45,115.5,79.5,90.75,9.45,12.925,278.0,0.3,2.934723,-3.8317719,1.5292969,-1.1244965,0.0,28.5,77.25,2025-02-19 03:30:00+05:30,3
1.9925,113.875,111.675,0.15197499999999997,1.0,132.0,91.5,92.0,10.666666666666666,12.775,278.0,0.3,2.9111176,-3.7029724,1.5197449,-1.1169434,0.0,28.5,77.25,2025-02-19 04:30:00+05:30,4
2.0075,120.375,111.425,0.15714999999999996,2.3666666666666667,136.5,96.5,92.0,7.2,13.35,280.25,0.3,2.8906708,-3.4433136,1.5312347,-1.0211487,0.0,28.5,77.25,2025-02-19 05:30:00+05:30,5
1.905,116.19999999999999,110.475,0.15324999999999991,0.8,120.0,83.5,89.75,10.566666666666666,14.5,278.75,0.3,3.2537231,-3.322052,1.6473083,-0.9832001,0.0,28.5,77.25,2025-02-19 06:30:00+05:30,6
1.7825,106.675,112.75,0.146725,2.9,105.5,68.5,86.5,8.05,16.424999999999997,226.5,0.3,3.6652527,-3.1240997,2.0473328,-1.0544586,0.0,28.5,77.25,2025-02-19 07:30:00+05:30,7
1.7850000000000001,100.9,119.0,0.145375,3.45,127.5,86.5,77.0,14.833333333333334,20.525,223.0,0.9750000000000001,3.8726044,-2.6934204,2.2043762,-1.0926666,0.0,28.5,77.25,2025-02-19 08:30:00+05:30,8
1.8075,98.325,122.875,0.14532499999999998,1.9000000000000001,174.5,108.66666666666667,62.0,9.65,24.275,231.5,1.2,2.8764038,-1.7333221,1.9226227,-1.0414124,0.0,28.5,77.25,2025-02-19 09:30:00+05:30,9
1.7775,86.80000000000001,133.2,0.14145,2.6,199.0,105.0,49.75,3.225,27.475,240.5,1.425,2.3858948,-1.3290558,1.8623962,-0.9870453,0.0,28.5,77.25,2025-02-19 10:30:00+05:30,10
1.6749999999999998,65.25,134.7,0.1247,6.775,176.0,78.66666666666667,42.75,7.8,29.7,244.0,1.5750000000000002,2.4644318,-1.0765839,1.9876099,-0.82081604,0.0,28.5,77.25,2025-02-19 11:30:00+05:30,11
1.5375,22.275,149.6,0.097675,9.25,153.0,66.0,40.5,3.55,30.525,224.75,1.475,2.374405,-0.52589417,1.9359436,-0.42018127,0.0,28.5,77.25,2025-02-19 12:30:00+05:30,12
1.3,4.0,62.675,0.034499999999999975,71.925,140.5,59.0,38.0,5.433333333333334,31.675,217.5,1.425,2.4390259,0.20713806,1.9785767,0.17272949,0.0,28.5,77.25,2025-02-19 13:30:00+05:30,13
1.3233333333333335,7.125,97.675,0.0577,25.35,108.5,52.0,36.75,4.2,32.5,235.75,1.375,2.430069,0.6326599,1.9645844,0.51257324,0.0,28.5,77.25,2025-02-19 14:30:00+05:30,14
1.2733333333333334,7.333333333333333,107.3,0.063,16.266666666666666,88.33333333333333,42.666666666666664,35.666666666666664,,32.4,205.33333333333334,1.3,3.03479,0.80223083,2.386734,0.6281738,0.0,28.5,77.25,2025-02-19 15:30:00+05:30,15
1.2650000000000001,10.799999999999999,122.25,0.0738,12.575,80.5,34.5,38.75,,30.55,261.75,0.775,2.7759705,0.3108673,2.087204,0.18995667,0.0,28.5,77.25,2025-02-19 16:30:00+05:30,16
