hoursFromNow,datetime,aqi,pollutant,pm25,pm10,tempC,windSpeed,windDir
1,2022-06-06T19:00:00Z,195.1,PM10,82.4,242.6,31.6,10.0,0.0
2,2022-06-06T20:00:00Z,195.1,PM10,83.3,242.6,31.6,10.0,0.0
3,2022-06-06T21:00:00Z,198.2,PM10,83.3,247.4,31.6,10.0,0.0
4,2022-06-06T22:00:00Z,201.8,PM10,85.6,251.8,31.6,10.0,0.0
5,2022-06-06T23:00:00Z,202.7,PM10,85.6,252.7,31.6,10.0,0.0
6,2022-06-07T00:00:00Z,194.1,PM10,75.9,241.1,31.6,10.0,0.0
7,2022-06-07T01:00:00Z,193.0,PM10,77.6,239.5,31.6,10.0,0.0
8,2022-06-07T02:00:00Z,193.0,PM10,78.3,239.5,31.6,10.0,0.0
9,2022-06-07T03:00:00Z,193.0,PM10,76.2,239.5,31.6,10.0,0.0
10,2022-06-07T04:00:00Z,193.0,PM10,77.3,239.5,31.6,10.0,0.0
11,2022-06-07T05:00:00Z,193.0,PM10,80.8,239.5,31.6,10.0,0.0
12,2022-06-07T06:00:00Z,193.5,PM10,82.9,240.3,31.6,10.0,0.0
13,2022-06-07T07:00:00Z,198.1,PM10,88.0,247.1,31.6,10.0,0.0
14,2022-06-07T08:00:00Z,198.1,PM10,85.7,247.1,31.6,10.0,0.0
15,2022-06-07T09:00:00Z,198.0,PM10,85.1,247.0,31.6,10.0,0.0
16,2022-06-07T10:00:00Z,196.8,PM10,84.5,245.3,31.6,10.0,0.0
17,2022-06-07T11:00:00Z,195.8,PM10,85.9,243.7,31.6,10.0,0.0
18,2022-06-07T12:00:00Z,196.1,PM10,84.9,244.2,31.6,10.0,0.0
19,2022-06-07T13:00:00Z,196.1,PM10,83.8,244.2,31.6,10.0,0.0
20,2022-06-07T14:00:00Z,196.1,PM10,81.8,244.2,31.6,10.0,0.0
21,2022-06-07T15:00:00Z,193.9,PM10,82.2,240.9,31.6,10.0,0.0
22,2022-06-07T16:00:00Z,206.7,PM10,84.4,256.7,31.6,10.0,0.0
23,2022-06-07T17:00:00Z,206.8,PM10,86.7,256.8,31.6,10.0,0.0
24,2022-06-07T18:00:00Z,207.6,PM10,87.0,257.6,31.6,10.0,0.0
25,2022-06-07T19:00:00Z,208.2,PM10,88.8,258.2,31.6,10.0,0.0
26,2022-06-07T20:00:00Z,217.8,PM2.5,95.3,265.0,31.6,10.0,0.0
27,2022-06-07T21:00:00Z,219.0,PM2.5,95.7,266.0,31.6,10.0,0.0
28,2022-06-07T22:00:00Z,219.2,PM2.5,95.8,268.9,31.6,10.0,0.0
29,2022-06-07T23:00:00Z,219.2,PM2.5,95.8,268.9,31.6,10.0,0.0
30,2022-06-08T00:00:00Z,208.4,PM2.5,92.5,250.6,31.6,10.0,0.0
31,2022-06-08T01:00:00Z,208.4,PM2.5,92.5,250.2,31.6,10.0,0.0
32,2022-06-08T02:00:00Z,206.7,PM2.5,92.0,250.1,31.6,10.0,0.0
33,2022-06-08T03:00:00Z,206.7,PM2.5,92.0,250.1,31.6,10.0,0.0
